trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-208.51980815048475,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-45.580190841848314,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-63.118742550354455,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-64.92991312625247,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",30,0,-75.17567327101492,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",35,0,-187.83705754315017,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-135.90670306724738,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-116.43973575440661,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-144.18537280891326,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-177.7131575178058,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-134.8954889580633,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-62.92181313377459,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-129.6167546057925,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-62.44695054975527,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,11,-47.42453540856943,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",35,0,-222.34973741674378,"{0: 21, 1: 4, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-58.89364689843423,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-187.77249888614642,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-38.56695556584961,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
